rte_consumption_scenario,rte_production_scenario,ssp_scenario,iam_model,iam_scenario,gmst,year,lcia_method,impact,impact_unit,process,absolute_lca,contrib_absolute_lca,contrib_lca_ratio,absolute_lca_per_kwh,contrib_absolute_lca_per_kwh
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, ocean acidification, carbonate ion concentration",OA,aragonite saturation,"electricity production, wind, 1-3MW turbine, offshore",0.0021409599999999999,0.00014213051661522515,0.066386348467615069,3.048063213178535e-15,7.7487298948609968e-16
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, ocean acidification, carbonate ion concentration",OA,aragonite saturation,"electricity production, wind, 1-3MW turbine, onshore",0.0021409599999999999,0,0,3.048063213178535e-15,0
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, ocean acidification, carbonate ion concentration",OA,aragonite saturation,"heat and power co-generation, wood chips, 6667 kW",0.0021409599999999999,0,0,3.048063213178535e-15,0
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, ozone depletion, stratospheric O3 concentration",SOD,DU,EU electricity market imports,0.00068816199999999998,8.2012558599819937e-05,0.11917623844359314,9.7973012357077378e-16,8.0742717610520133e-16
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, ozone depletion, stratospheric O3 concentration",SOD,DU,Other life cycle contributions,0.00068816199999999998,4.5653091145980498e-05,0.066340616229871016,9.7973012357077378e-16,
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, ozone depletion, stratospheric O3 concentration",SOD,DU,Transmission corona,0.00068816199999999998,0.0005105872058055285,0.74195786138369813,9.7973012357077378e-16,
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, ozone depletion, stratospheric O3 concentration",SOD,DU,"electricity production, hydro, reservoir, alpine region",0.00068816199999999998,0,0,9.7973012357077378e-16,0
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, ozone depletion, stratospheric O3 concentration",SOD,DU,"electricity production, photovoltaic",0.00068816199999999998,0,0,9.7973012357077378e-16,0
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, ozone depletion, stratospheric O3 concentration",SOD,DU,"electricity production, wind, 1-3MW turbine, offshore",0.00068816199999999998,0,0,9.7973012357077378e-16,0
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, ozone depletion, stratospheric O3 concentration",SOD,DU,"electricity production, wind, 1-3MW turbine, onshore",0.00068816199999999998,0,0,9.7973012357077378e-16,0
