country,sector,year,summary_level,fu_ratio,ratio_label,row_count,ratio_count,num_zero_den_positive_count,mean,p5,p25,p50,p75,p95
BR,Recycling of bottles by direct reuse,2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.8485305131352102,0.3183873091084461,1.0,1.0,1.0,1.0
BR,Recycling of bottles by direct reuse,2022,fu_ratio,L2.a.c / L2.c.b,,6,5,1,1.0,1.0,1.0,1.0,1.0,1.0
CA,Recycling of bottles by direct reuse,2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,11,1,0.9182624389640668,0.5504434143023673,1.0,1.0,1.0,1.0
CA,Recycling of bottles by direct reuse,2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.8501478047674557,0.32566512145355103,1.0,1.0,1.0,1.0
CA,Recycling of bottles by direct reuse,2022,fu_ratio,L2.a.c / L2.c.b,,6,5,1,1.0,1.0,1.0,1.0,1.0,1.0
CH,Recycling of bottles by direct reuse,2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,11,1,0.9230198132813345,0.57660897304734,1.0,1.0,1.0,1.0
CH,Recycling of bottles by direct reuse,2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.8588696576824466,0.36491345957101,1.0,1.0,1.0,1.0
CH,Recycling of bottles by direct reuse,2022,fu_ratio,L2.a.c / L2.c.b,,6,5,1,1.0,1.0,1.0,1.0,1.0,1.0
CN,Recycling of bottles by direct reuse,2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,11,1,0.9138523015005837,0.5261876582532101,1.0,1.0,1.0,1.0
CN,Recycling of bottles by direct reuse,2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.8420625527510701,0.2892814873798152,1.0,1.0,1.0,1.0
CN,Recycling of bottles by direct reuse,2022,fu_ratio,L2.a.c / L2.c.b,,6,5,1,1.0,1.0,1.0,1.0,1.0,1.0
CY,Recycling of bottles by direct reuse,2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,11,1,0.94761390072719,0.7118764539995448,1.0,1.0,1.0,1.0
CY,Recycling of bottles by direct reuse,2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.9039588179998482,0.5678146809993172,1.0,1.0,1.0,1.0
CY,Recycling of bottles by direct reuse,2022,fu_ratio,L2.a.c / L2.c.b,,6,5,1,1.0,1.0,1.0,1.0,1.0,1.0
CZ,Recycling of bottles by direct reuse,2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,11,1,0.9285711401395207,0.6071412707673634,1.0,1.0,1.0,1.0
CZ,Recycling of bottles by direct reuse,2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.8690470902557879,0.41071190615104497,1.0,1.0,1.0,1.0
CZ,Recycling of bottles by direct reuse,2022,fu_ratio,L2.a.c / L2.c.b,,6,5,1,1.0,1.0,1.0,1.0,1.0,1.0
DE,Recycling of bottles by direct reuse,2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,11,1,0.9311566767366767,0.621361722051722,1.0,1.0,1.0,1.0
DE,Recycling of bottles by direct reuse,2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.8737872406839072,0.432042583077583,1.0,1.0,1.0,1.0
DE,Recycling of bottles by direct reuse,2022,fu_ratio,L2.a.c / L2.c.b,,6,5,1,1.0,1.0,1.0,1.0,1.0,1.0
DK,Recycling of bottles by direct reuse,2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,11,1,0.9365786895892242,0.651182792740733,1.0,1.0,1.0,1.0
DK,Recycling of bottles by direct reuse,2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.8837275975802443,0.4767741891110996,1.0,1.0,1.0,1.0
DK,Recycling of bottles by direct reuse,2022,fu_ratio,L2.a.c / L2.c.b,,6,5,1,1.0,1.0,1.0,1.0,1.0,1.0
EE,Recycling of bottles by direct reuse,2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,11,1,0.9474900510033527,0.7111952805184394,1.0,1.0,1.0,1.0
EE,Recycling of bottles by direct reuse,2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.9037317601728132,0.5667929207776592,1.0,1.0,1.0,1.0
EE,Recycling of bottles by direct reuse,2022,fu_ratio,L2.a.c / L2.c.b,,6,5,1,1.0,1.0,1.0,1.0,1.0,1.0
ES,Recycling of bottles by direct reuse,2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,11,1,0.9122639166361808,0.517451541498995,1.0,1.0,1.0,1.0
